IMO,Vessel_Name,AIS_Timestamp,AIS_Longtitude,AIS_Latitude,AIS_Speed_Over_Ground,AIS_Heading,AIS_Breadth_Moulded,AIS_Breadth_Extreme,AIS_Length_Overall,AIS_East,AIS_North
5079551,SCANTANK,2020-01-25 05:33:09,9.194993333333333,63.95196333333333,9.083134834927492,511.0,6.68,6.71,31.63,16076.529208385968,104807.91256073957
5079551,SCANTANK,2020-01-25 05:43:10,9.177575,63.97596833333333,9.084597664799132,511.0,6.68,6.71,31.63,15470.111101754417,107552.1540912334
5079551,SCANTANK,2020-01-25 05:53:41,9.148988333333334,63.997875,8.670757103298612,511.0,6.68,6.71,31.63,14299.241601449843,110113.55989737065
9277371,TERNVAG,2020-01-25 05:59:34,9.269138333333332,63.91864333333333,11.301685718801034,205.0,21.6,0.0,141.2,19364.319436788617,100777.78061985224
9277371,TERNVAG,2020-01-25 06:00:35,9.266308333333333,63.91578166666667,11.087242856637044,205.0,21.6,0.0,141.2,19197.254171414184,100472.36043120547
5079551,SCANTANK,2020-01-25 06:01:39,9.125386666666667,63.99618333333334,4.759112844194221,511.0,6.68,6.71,31.63,13131.09887297434,110031.86898414695
5079551,SCANTANK,2020-01-25 06:14:38,9.12481,63.996655000000004,0.148907471227719,511.0,6.68,6.71,31.63,13107.825691702894,110086.85797693023
5079551,SCANTANK,2020-01-25 06:25:35,9.15944,63.99238666666667,5.2083316074440065,511.0,6.68,6.71,31.63,14752.806477829698,109457.0460903747
5079551,SCANTANK,2020-01-25 06:37:07,9.134898333333334,63.96658333333333,8.756915504563105,511.0,6.68,6.71,31.63,13291.388092324312,106701.2692547636
5079551,SCANTANK,2020-01-25 06:47:35,9.091458333333334,63.946405000000006,9.586456026193064,511.0,6.68,6.71,31.63,10962.637802164012,104656.56363668943
5079551,SCANTANK,2020-01-25 06:58:36,9.049588333333332,63.924575,9.363872397016106,511.0,6.68,6.71,31.63,8690.525928589283,102422.90323371161
5079551,SCANTANK,2020-01-25 07:00:05,9.044626666666666,63.92149833333333,9.186194093236583,511.0,6.68,6.71,31.63,8415.977465087199,102103.92009024788
9264348,VETLEFJORD,2020-01-25 12:42:09,8.89723,63.92494666666666,15.372998017692833,76.0,9.0,0.0,25.75,1247.6606781944865,103170.34271908645
9264348,VETLEFJORD,2020-01-25 12:42:54,8.897893333333334,63.925135,1.6729589632829371,72.0,9.0,0.0,25.75,1282.0874202549458,103188.14259808695
9264348,VETLEFJORD,2020-01-25 12:48:14,8.888264999999997,63.92217666666666,3.4997522948164157,212.0,9.0,0.0,25.75,779.9412854294643,102904.86566377523
9660449,EIDSVAAG PIONER,2020-01-25 12:53:20,9.0316,63.91016666666667,13.526809077191631,57.0,13.6,0.0,74.7,7660.984652387851,100905.16242798977
9660449,EIDSVAAG PIONER,2020-01-25 12:59:28,9.074466666666666,63.92265,13.323807399755845,59.0,13.6,0.0,74.7,9886.696048318585,102095.49048223627
9660449,EIDSVAAG PIONER,2020-01-25 13:00:40,9.08275,63.92493333333334,12.946787257019436,59.0,13.6,0.0,74.7,10315.24589300144,102311.36731993685
9660449,EIDSVAAG PIONER,2020-01-25 13:05:37,9.117666666666667,63.93453333333333,13.218541789384119,59.0,13.6,0.0,74.7,12120.77153341251,103219.21542838868
9660449,EIDSVAAG PIONER,2020-01-25 13:10:49,9.152983333333333,63.94465,12.875907542781189,58.0,13.6,0.0,74.7,13950.01988472766,104183.67475487944
9660449,EIDSVAAG PIONER,2020-01-25 13:11:38,9.15865,63.94635,13.341120465464805,58.0,13.6,0.0,74.7,14244.202659048724,104347.04769845027
9660449,EIDSVAAG PIONER,2020-01-25 13:17:41,9.2005,63.958816666666664,13.2680131374614,58.0,13.6,0.0,74.7,16414.951534886844,105544.6302207578
9660449,EIDSVAAG PIONER,2020-01-25 13:21:49,9.229266666666666,63.96741666666666,13.360834842889988,54.0,13.6,0.0,74.7,17906.384978555143,106372.08591123203
9660449,EIDSVAAG PIONER,2020-01-25 13:23:47,9.242616666666667,63.97188333333334,13.539997071420727,55.0,13.6,0.0,74.7,18603.037222788033,106809.15807451306
9312690,KJERVAAGSUND,2020-01-25 21:44:24,9.210626666666666,63.911818333333336,9.613504319654428,27.0,14.4,0.0,106.12,16433.949514498294,100278.8887476856
9312690,KJERVAAGSUND,2020-01-25 21:50:33,9.228431666666667,63.9267,9.87714270663225,27.0,14.4,0.0,106.12,17454.916428615634,101852.82199119496
9312690,KJERVAAGSUND,2020-01-25 21:56:43,9.246236666666666,63.941475,9.794097250598332,28.0,14.4,0.0,106.12,18473.92020936758,103415.21398923268
9312690,KJERVAAGSUND,2020-01-25 22:00:15,9.256743333333333,63.95006833333333,9.972866661233141,27.0,14.4,0.0,106.12,19073.557632969398,104323.39624742883
9312690,KJERVAAGSUND,2020-01-25 22:02:45,9.264380000000001,63.95625500000001,10.168820734341251,27.0,14.4,0.0,106.12,19508.613034111622,104976.97751349583
9673006,HAVTRANS,2020-01-26 01:44:51,9.245346666666668,63.933505000000004,11.705815772576035,242.0,16.9,17.0,84.8,18350.28200160124,102533.79585280364
9673006,HAVTRANS,2020-01-26 01:51:00,9.20572,63.92431833333333,11.574487699520626,242.0,16.9,17.0,84.8,16320.505865183834,101689.26621959824
9673006,HAVTRANS,2020-01-26 01:57:01,9.166618333333334,63.91506999999999,11.728931513733746,243.0,16.9,17.0,84.8,14314.59411849326,100836.82746201569
9673006,HAVTRANS,2020-01-26 02:00:22,9.144758333333334,63.90973333333334,11.865004351890654,242.0,16.9,17.0,84.8,13190.964604297713,100342.34267590474
9411800,ARTIC JUNIOR,2020-01-26 07:24:06,9.264066666666668,63.99434333333333,10.06097358365177,259.0,11.8,0.0,68.36,19875.22454183461,109209.52237182109
9411800,ARTIC JUNIOR,2020-01-26 07:30:14,9.226888333333333,63.991094999999994,9.800330430087332,263.0,11.8,0.0,68.36,18029.25598706922,109012.90773865023
9411800,ARTIC JUNIOR,2020-01-26 07:32:16,9.214688333333333,63.990345,9.607531069645576,264.0,11.8,0.0,68.36,17426.624602703378,108983.72142680267
9411800,ARTIC JUNIOR,2020-01-26 07:36:15,9.190151666666667,63.98910166666667,9.833364360139893,271.0,11.8,0.0,68.36,16217.230750437244,108954.81834248826
9411800,ARTIC JUNIOR,2020-01-26 07:42:15,9.157283333333334,63.99367,9.111663066954645,321.0,11.8,0.0,68.36,14660.738575692349,109609.26373406874
9411800,ARTIC JUNIOR,2020-01-26 07:42:26,9.15669,63.99397166666667,7.851718044374633,321.0,11.8,0.0,68.36,14634.885882794391,109645.43261380868
9411800,ARTIC JUNIOR,2020-01-26 07:48:16,9.1363,63.99855666666666,6.226633755013884,233.0,11.8,0.0,68.36,13687.570685336948,110246.31721593998
9688960,AQUA FJELL,2020-01-26 07:50:56,9.251064999999999,63.93865666666667,10.82341041984934,243.0,15.0,15.33,69.9,18681.529315844004,103080.78837714158
9411800,ARTIC JUNIOR,2020-01-26 07:53:15,9.124705,63.99620666666666,4.063044561786228,343.0,11.8,0.0,68.36,13098.100390415291,110037.53456187807
9411800,ARTIC JUNIOR,2020-01-26 07:54:27,9.124941666666668,63.99623999999999,0.3284017278617711,341.0,11.8,0.0,68.36,13109.982690324423,110040.16966866331
9688960,AQUA FJELL,2020-01-26 07:56:57,9.215336666666667,63.93088666666666,10.525352542433726,242.0,15.0,15.33,69.9,16857.062750032463,102376.07372294088
9688960,AQUA FJELL,2020-01-26 08:00:28,9.194771666666666,63.92631666666666,10.411839128699087,242.0,15.0,15.33,69.9,15805.514034816411,101960.07466733085
9411800,ARTIC JUNIOR,2020-01-26 08:00:30,9.125811666666667,63.99625833333334,0.22825446691537404,317.0,11.8,0.0,68.36,13152.592257052716,110038.283014399
9411800,ARTIC JUNIOR,2020-01-26 08:00:57,9.126053333333333,63.99630333333333,0.9249100071994242,316.0,11.8,0.0,68.36,13164.838105470231,110042.1916178232
9688960,AQUA FJELL,2020-01-26 08:03:07,9.179260000000001,63.922830000000005,10.44743062064469,242.0,15.0,15.33,69.9,15011.752735793823,101642.12537144496
9411800,ARTIC JUNIOR,2020-01-26 08:06:32,9.125675,63.99656833333334,0.20229908771477384,236.0,11.8,0.0,68.36,13149.112376730018,110073.33133490944
9688960,AQUA FJELL,2020-01-26 08:09:17,9.14328,63.91468166666667,10.431730780456485,242.0,15.0,15.33,69.9,13169.291171630437,100898.63209906592
9688960,AQUA FJELL,2020-01-26 08:10:50,9.134541666666667,63.91272833333333,10.053856336654356,242.0,15.0,15.33,69.9,12721.938432855242,100721.06978076695
9411800,ARTIC JUNIOR,2020-01-26 08:10:58,9.125821666666667,63.99671833333333,0.13297796326669806,241.0,11.8,0.0,68.36,13157.804381638824,110089.33074083274
9411800,ARTIC JUNIOR,2020-01-26 08:12:35,9.125818333333333,63.99679,0.160136714836009,240.0,11.8,0.0,68.36,13158.377919949824,110097.30588237756
9688960,AQUA FJELL,2020-01-26 08:15:27,9.107508333333334,63.90666166666666,10.452150080701124,242.0,15.0,15.33,69.9,11337.39221726614,100169.516348199
9411800,ARTIC JUNIOR,2020-01-26 08:18:36,9.125845,63.996775,0.011420759469436352,239.0,11.8,0.0,68.36,13159.524103444826,110095.5195793761
9411800,ARTIC JUNIOR,2020-01-26 08:22:06,9.125810000000001,63.996781666666664,0.01728170317803147,241.0,11.8,0.0,68.36,13157.886004173955,110096.41786082275
9411800,ARTIC JUNIOR,2020-01-26 08:24:44,9.125835,63.996795,0.023682915493342813,241.0,11.8,0.0,68.36,13159.241925874785,110097.78609342409
9411800,ARTIC JUNIOR,2020-01-26 08:30:45,9.125861666666667,63.99678333333333,0.009918453061151229,240.0,11.8,0.0,68.36,13160.422345123836,110096.3700285526
9411800,ARTIC JUNIOR,2020-01-26 08:32:15,9.125846666666666,63.99678833333334,0.019913606911447085,240.0,11.8,0.0,68.36,13159.74231120839,110096.99301601945
9411800,ARTIC JUNIOR,2020-01-26 08:36:45,9.125785,63.99678166666667,0.022375809935205184,240.0,11.8,0.0,68.36,13156.667025266272,110096.53057986964
9411800,ARTIC JUNIOR,2020-01-26 08:43:06,9.125843333333334,63.996790000000004,0.015316066053298412,240.0,11.8,0.0,68.36,13159.596898538235,110097.19316399565
9411800,ARTIC JUNIOR,2020-01-26 08:48:46,9.125863333333333,63.99680666666666,0.012006098335662558,241.0,11.8,0.0,68.36,13160.743259070909,110098.95417865645
9411800,ARTIC JUNIOR,2020-01-26 08:53:06,9.125873333333333,63.99681166666666,0.00554743312842665,240.0,11.8,0.0,68.36,13161.282203443347,110099.46444832347
9411800,ARTIC JUNIOR,2020-01-26 08:54:54,9.125853333333334,63.99680666666666,0.02026637868970483,240.0,11.8,0.0,68.36,13160.255667912134,110098.99926577602
9411800,ARTIC JUNIOR,2020-01-26 09:00:56,9.125538333333333,63.99661,0.14391429901077527,237.0,11.8,0.0,68.36,13142.876542796905,110078.57552685402
9411800,ARTIC JUNIOR,2020-01-26 09:06:55,9.1351,64.00310333333333,4.666867408267506,320.0,11.8,0.0,68.36,13675.688173065835,110756.72787221428
9411800,ARTIC JUNIOR,2020-01-26 09:10:57,9.120341666666668,64.01051666666666,8.814515466861824,325.0,11.8,0.0,68.36,13032.463882083306,111646.64014678447
9411800,ARTIC JUNIOR,2020-01-26 09:12:57,9.11231,64.01424166666666,9.259519438444926,268.0,11.8,0.0,68.36,12679.395310365362,112096.6322704684
9411800,ARTIC JUNIOR,2020-01-26 09:19:06,9.087816666666667,64.00583166666667,8.013970394563557,238.0,11.8,0.0,68.36,11398.957669701836,111273.42763600312
9411800,ARTIC JUNIOR,2020-01-26 09:21:16,9.080518333333334,64.00147333333334,9.015804950988537,230.0,11.8,0.0,68.36,10998.117851765594,110822.49777846971
9411800,ARTIC JUNIOR,2020-01-26 09:25:14,9.068886666666666,63.99223166666666,9.613291104778844,216.0,11.8,0.0,68.36,10335.256203931991,109848.97278885264
9411800,ARTIC JUNIOR,2020-01-26 09:31:17,9.061233333333334,63.98526833333333,4.615591810506399,235.0,11.8,0.0,68.36,9889.75016014272,109110.47017647883
9411800,ARTIC JUNIOR,2020-01-26 09:37:26,9.061196666666666,63.985255,0.012279407891271138,236.0,11.8,0.0,68.36,9887.82327802194,109109.15652455296
9411800,ARTIC JUNIOR,2020-01-26 09:42:17,9.061214999999999,63.98525833333333,0.006486161519449578,236.0,11.8,0.0,68.36,9888.752110172587,109109.44313926624
9411800,ARTIC JUNIOR,2020-01-26 09:43:34,9.061205000000001,63.985255,0.015525511205856778,235.0,11.8,0.0,68.36,9888.229743037547,109109.11852616163
9411800,ARTIC JUNIOR,2020-01-26 09:49:35,9.061238333333334,63.98524333333333,0.011237682702835296,235.0,11.8,0.0,68.36,9889.734471732168,109107.67079422156
9411800,ARTIC JUNIOR,2020-01-26 09:52:26,9.061201666666667,63.985240000000005,0.02083664885756508,236.0,11.8,0.0,68.36,9887.91141569207,109107.46777555998
9411800,ARTIC JUNIOR,2020-01-26 09:55:45,9.061151666666666,63.985184999999994,0.06448875044770289,236.0,11.8,0.0,68.36,9884.901568136993,109101.58728412166
9411800,ARTIC JUNIOR,2020-01-26 10:00:07,9.061153333333333,63.98518333333333,0.0015061085189520718,236.0,11.8,0.0,68.36,9884.965556614916,109101.39457882287
9411800,ARTIC JUNIOR,2020-01-26 10:01:55,9.061106666666666,63.98516833333333,0.050953923686105115,236.0,11.8,0.0,68.36,9882.533603121934,109099.94142300356
9411800,ARTIC JUNIOR,2020-01-26 10:07:57,9.06108,63.98514666666666,0.014745295514480387,236.0,11.8,0.0,68.36,9881.007947035949,109097.65664852595
9411800,ARTIC JUNIOR,2020-01-26 10:11:06,9.061201666666667,63.9851,0.08133292193767358,235.0,11.8,0.0,68.36,9886.457830822328,109091.91890934015
9411800,ARTIC JUNIOR,2020-01-26 10:14:05,9.061143333333332,63.98510666666667,0.032046285459174435,235.0,11.8,0.0,68.36,9883.68177895568,109092.92532263324
9411800,ARTIC JUNIOR,2020-01-26 10:20:06,9.061148333333334,63.98509,0.01009076060618752,235.0,11.8,0.0,68.36,9883.75261198025,109091.05146790015
9411800,ARTIC JUNIOR,2020-01-26 10:21:57,9.0612,63.985144999999996,0.1161578425077345,224.0,11.8,0.0,68.36,9886.843761017779,109096.92435889877
9411800,ARTIC JUNIOR,2020-01-26 10:26:15,9.052211666666668,63.98333,3.649213923351248,225.0,11.8,0.0,68.36,9429.557997501688,108936.36267587822
9411800,ARTIC JUNIOR,2020-01-26 10:32:16,9.02292,63.97067000000001,10.835608431103903,225.0,11.8,0.0,68.36,7868.488663674274,107664.46466682293
9411800,ARTIC JUNIOR,2020-01-26 10:32:55,9.019811666666667,63.96923166666666,11.020900481807608,228.0,11.8,0.0,68.36,7701.768675342669,107519.00020979343
